2P 8am-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17}]
2P 8am-6pm|[{hour_s: 8, hour_e: 18}]
2P 8am-6pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
2P 8am-6pm Mon-Fri_Left Arrow|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
2P 8am-6pm Mon-Sat|[{day_s:1, day_e: 6,hour_s: 8, hour_e: 18}]
2P 8am-6pm Mon_Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
2P 9:30-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9.5, hour_e: 17}]
2P 9am - 5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
2P 9am-5:30pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17.5}]
2P 9am-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
2P 9am-5pm Mon-Fri Feb-Nov|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
2P Mon-Fri 8am - 6pm|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
2P Mon-Fri 8am-6pm|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
2P Mon-Fri 9am-5pm|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
2P, Mon-Fri, 8am-8pm|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 20}]
2pm-10pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 14, hour_e: 22}]
3 Hours, 9am-5pm, Daily|[{hour_s: 9, hour_e: 17}]
30 Minutes Truck Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
3P 7am-7pm Mon-Sun|[{hour_s: 7, hour_e: 19}]
3P 8:00am-5:00pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17}]
3P 8:00am-5:30pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17.5}]
3P 8am-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17}]
3P 8am-6:30pm Mon-Fri; 8am-2pm Sat_Right Arrow|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18.5},{day_s:6, day_e:6,hour_s:8, hour_e:14}]
3P 8am-6pm Mon-Fri |[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
3P 9:00am-5:00pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
3P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat; Taxi Zone 11:00pm-6:00am|[{hour_s:22,hour_e:24},{hour_s:0,hour_e:6},{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
3P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
3P 9:30am-5pm, Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9.5, hour_e: 17}]
3P 9am - 5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
3P 9am-5:30pm Mon-Fri, 9am-4pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
3P 9am-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays|[{hour_s: 9, hour_e: 17}]
3P Meter 9:00am-5.30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
3P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
3P Meter 9:30am-4:00pm Mon-Fri, 9:00am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 16},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
3P Meter 9am-5:30pm Mon-Fri 9-11am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11}]
3P Meter 9am-5:30pm Mon-Fri; 9-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
3P Meter 9am-5:30pm Mon-Fri; 9am-4pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
3P Meter 9am-5:30pm Mon-Fri; 9am-4pm Sat; Taxi Zone 10pm - 6am Daily|[{hour_s:22,hour_e:24},{hour_s:0,hour_e:6},{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
3P Mon-Fri 8am - 6pm|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 16}]
3P meter, 9-5:30 Mon-Fri, 9-11:30 Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
3P meter, 9-5:30 Mon-Fri, 9-11:30 Sat |[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
3P, 8am-4pm, Mon-Fri|[{day_s:1, day_e: 5,hour_s:8, hour_e: 16}]
3P, 9am-5pm, Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
3P: 9am-5pm; mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
3P; 10am-4pm; Mon-Fri|[{day_s:1, day_e: 5,hour_s: 10, hour_e: 16}]
3P; 9am-5pm, Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
3P; 9am-5pm; Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
3p: 9am-5pm; mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
5.30pm-9:00am Daily|[{hour_s: 17.5, hour_e: 24}, {hour_s:0,hour_e:9}]
5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18.5},{day_s:6, day_e:6,hour_s:8, hour_e:14}]
5MinP 8am-9am Mon-Fri; 3P 9am-5:30pm Mon-Fri 9am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
7am-7pm daily|[{hour_s: 7, hour_e: 19}]
8-5:30 Mon-Fri, 8-12 Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
8-8:30am; 3:15-4pm School Days Only|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 8.5},{day_s:1, day_e: 5, hour_s: 15.25, hour_e: 16}]
8am-1pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 13}]
8am-4pm, Monday to Friday|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 16}]
8am-6pm 1/4P Mon-Fri, 8am-12pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
8am-6pm Mon-Fri, 8am-12pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
8am-6pm Mon-Sat|[{day_s:1, day_e: 6, hour_s: 8, hour_e: 18}]
8am-6pm, Monday to Friday|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18}]
8am-6pm, Monday-Friday|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18}]
9P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
9P Meter 9:00am-5:30pm Mon-Fri, 9:00am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
9am-5pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17}]
Accesible buses only 11:00am-2:00pm; Handicap Pickup and DropOff|[{hour_s: 11, hour_e: 14}]
Bus Stop; No Standing 6:30am-9:30pm Mon-Sat 10:30am-5:30pm Sun|[{day_s:1, day_e: 6, hour_s: 6.5, hour_e: 21.5},{day_s:7, day_e:7,hour_s:10.5, hour_e:17.5}]
Bus Zone 1/4P 7:30am-6:00pm Mon-Fri; Section 1 Start|[{day_s:1, day_e: 5, hour_s: 7.5, hour_e: 18}]
Bus Zone 315-330pm School Days|[{day_s:1, day_e: 5, hour_s: 15.25, hour_e: 15.5}]
Bus Zone 8-8:40am|[{hour_s: 8, hour_e: 8.75}]
Bus Zone 8:00am-6:00pm Mon-Fri Reserved for Longford and West Tamar Buses|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18}]
Bus Zone 8am-4pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 16}]
Bus Zone 8am-9:30am|[{hour_s: 8, hour_e: 9.5}]
Bus Zone Metro 6:30 am - 5pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 6.5, hour_e: 17}]
Bus and Truck Zone 8am-5:30pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5}]
Clearway 3:30pm - 4:30pm|[{hour_s: 15.5, hour_e: 16.5}]
Loading 7:30am - 10am|[{hour_s: 7.5, hour_e: 10}]
Loading Zone 15 Minutes 9:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 7:00am-11:00am Mon-Sat, 1P metered 11am-5:30pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 7, hour_e: 17.5},{day_s:6, day_e:6,hour_s:7, hour_e:11}]
