objectid,comments,class,parktime_mins,surveydate,signinfo,meternumber,baynumber,drawingnumber,mode,st_areashape,st_lengthshape
1755,,Permit,180,2009-04-20T00:00:00.000Z,"3P; 9am-5pm; Mon-Fri",Area N,,,Active,14.2902164966842,0
1756,,Unrestricted,,2009-01-13T00:00:00.000Z,"3P 7am-7pm Mon-Sun; Resident Permit Area",Area R,,,Active,13.790742499577,0
1757,,Unrestricted,,2009-01-13T00:00:00.000Z,"3P 7am-7pm Mon-Sun; Resident Permit Area",Area R,,,Active,13.790546998035,0
1758,,Unrestricted,,2009-01-13T00:00:00.000Z,"3P 7am-7pm Mon-Sun; Resident Permit Area",Area R,,,Active,13.7853669998228,0
1759,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7902399988279,0
1760,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.3985270024796,0
1761,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.3990660032366,0
1762,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.3985270012484,0
1763,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7889269993586,0
1764,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.792759999987,0
1765,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7902399995739,0
1766,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.3985270004401,0
1767,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.794407500257,0
1768,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7872799990888,0
1769,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7872799990888,0
1770,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.3985270004401,0
1771,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7902400015846,0
1772,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.3985269980424,0
1773,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7902399995739,0
1774,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7902399995739,0
1775,,Unrestricted,,2009-01-13T00:00:00.000Z,"3P 7am-7pm Mon-Sun; Resident Permit Area",Area T,,,Active,13.7872800010995,0
1776,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7902400023306,0
1777,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7864789989575,0
1778,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.3998669985915,0
1779,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,16.398526997234,0
1780,,Unrestricted,,2009-01-13T00:00:00.000Z,,Area T,,,Active,13.7902399995739,0
